empresa,Nome,cpf_cnpj,data_compra,veiculo_porte,tipo_veiculo,medida_pneu,Remolde,Qnt_vendas,Vr_unitario,Vr_Total
Sim,Costela,97.430.286/0001-87,22/06/2022,medio,carro,195/75.13,Sim,4,171.45,685.8
Não,Cauê Pinto,730.265.841-26,18/08/2022,grande,caminhão,205/55.15,Não,5,216.69,1083.45
Sim,Dias e Filhos,32.097.465/0001-07,05/07/2023,medio,carro,195/65.16,Sim,1,162.62,162.62
Não,Lorenzo da Luz,196.043.728-31,23/04/2025,medio,carro,165/65.14,Sim,1,161.67,161.67
Não,Dra. Cecília Freitas,085.329.164-06,12/06/2024,grande,caminhão,215/65.15,Não,3,226.08,678.24
Não,Vitor Fernandes,106.429.573-80,29/12/2023,medio,carro,185/65.16,Não,6,226.93,1361.58
Não,Dr. Rael da Rosa,268.051.397-59,24/09/2023,grande,caminhão,215/70.15,Sim,6,182.81,1096.86
Não,Maria Eduarda Câmara,025.647.139-80,14/02/2025,grande,caminhão,205/60.16,Não,1,236.16,236.16
Não,Theodoro Barros,514.789.263-09,23/04/2025,grande,caminhão,205/55.17,Sim,6,164.54,987.24
Não,Luigi Novaes,830.124.679-04,21/01/2024,medio,carro,195/65.15,Não,6,236.01,1416.06
Não,Dr. Henry Gabriel Montenegro,827.356.019-86,20/03/2025,medio,carro,175/75.16,Não,1,200.51,200.51
Não,Dr. Luiz Miguel Rios,907.254.863-92,03/01/2025,medio,carro,165/75.15,Não,4,231.71,926.84
Sim,Sampaio,85.960.143/0001-06,22/05/2023,medio,carro,185/65.13,Não,1,239.79,239.79
Não,Sarah da Luz,375.618.904-00,05/12/2024,medio,carro,195/65.15,Não,4,201.65,806.6
Não,Mateus Aragão,286.907.514-67,14/03/2024,grande,caminhão,215/45.17,Sim,4,152.57,610.28
Sim,Moreira,98.503.472/0001-61,04/05/2023,medio,carro,165/65.16,Não,2,245.69,491.38
Não,Rafael Montenegro,753.892.641-00,02/03/2024,grande,caminhão,215/55.17,Não,5,205.98,1029.9
Sim,Aparecida,73.916.485/0001-31,18/03/2025,grande,caminhão,215/45.17,Sim,4,176.74,706.96
Não,Yasmin Aparecida,502.863.479-38,08/11/2023,grande,caminhão,225/65.16,Não,1,207.93,207.93
Não,Dra. Alice Duarte,825.691.047-01,18/08/2024,medio,carro,185/65.15,Sim,5,163.6,818.0
Não,Alice Monteiro,314.289.650-33,18/06/2024,medio,carro,175/75.15,Não,1,246.91,246.91
Sim,Lopes,71.095.846/0001-09,14/01/2023,medio,carro,165/65.15,Sim,1,174.0,174.0
Sim,Moreira,98.503.472/0001-61,02/04/2023,medio,carro,175/75.16,Não,1,212.84,212.84
Não,Pedro Miguel Pimenta,283.975.140-23,29/01/2024,grande,caminhão,215/55.17,Sim,5,175.39,876.95
Não,Marina Teixeira,431.586.902-33,27/05/2024,grande,caminhão,225/70.15,Sim,3,184.47,553.41
Não,Gustavo Henrique Barbosa,852.319.407-04,27/08/2023,grande,caminhão,215/60.15,Não,3,240.57,721.71
Sim,Dias e Filhos,32.097.465/0001-07,09/07/2022,grande,caminhão,205/65.16,Não,2,242.82,485.64
Não,João Miguel Rios,650.713.298-59,15/05/2024,grande,caminhão,205/60.15,Não,5,240.99,1204.95
Não,Thomas Ribeiro,530.921.874-23,15/03/2025,medio,carro,195/65.16,Não,1,223.28,223.28
Não,Bianca Cardoso,683.709.514-57,22/10/2022,medio,carro,195/75.16,Não,2,247.44,494.88
Não,Ana Julia Caldeira,580.342.917-14,20/12/2023,grande,caminhão,215/45.15,Sim,1,167.12,167.12
Não,Renan Carvalho,159.687.304-39,30/12/2024,medio,carro,195/65.16,Sim,3,184.82,554.46
Sim,Aparecida,73.916.485/0001-31,16/06/2022,medio,carro,195/75.13,Não,6,219.33,1315.98
Sim,Costela,97.430.286/0001-87,22/10/2024,grande,caminhão,205/65.16,Não,1,230.35,230.35
Não,Maria Luiza Araújo,150.798.346-84,11/08/2022,medio,carro,175/65.15,Sim,6,187.08,1122.48
Sim,Costela,97.430.286/0001-87,14/10/2022,grande,caminhão,215/55.16,Sim,1,167.71,167.71
Não,Sr. Caio Rocha,120.839.475-41,21/06/2022,medio,carro,165/75.16,Não,1,203.01,203.01
Não,Josué da Paz,569.810.423-98,22/02/2023,grande,caminhão,225/60.15,Não,2,209.72,419.44
Sim,Lopes,71.095.846/0001-09,11/02/2024,medio,carro,175/65.13,Não,1,200.55,200.55
Não,Ana Beatriz Pereira,084.372.569-92,24/04/2023,medio,carro,165/65.16,Não,2,215.21,430.42
Não,Lunna Macedo,509.482.713-88,08/01/2025,grande,caminhão,205/70.15,Não,2,223.29,446.58
Não,Rafaela da Paz,983.750.146-48,27/05/2024,medio,carro,195/75.14,Não,1,249.18,249.18
Não,Luiz Otávio Cirino,892.307.546-92,29/09/2022,medio,carro,185/65.16,Sim,2,154.88,309.76
Não,José Jesus,914.062.587-76,20/09/2022,medio,carro,195/75.15,Não,2,219.53,439.06
Sim,Sampaio,85.960.143/0001-06,22/03/2023,medio,carro,185/65.14,Não,2,220.94,441.88
Não,Daniel Pinto,819.265.304-89,29/09/2022,medio,carro,165/65.13,Não,1,204.91,204.91
Sim,Almeida,59.608.342/0001-31,29/09/2024,grande,caminhão,205/65.15,Sim,2,154.58,309.16
Sim,Dias e Filhos,32.097.465/0001-07,14/12/2024,medio,carro,185/75.14,Sim,2,181.39,362.78
Não,Caroline Barros,528.306.197-30,19/12/2022,medio,carro,165/65.15,Não,6,220.04,1320.24
Sim,Nascimento,04.163.295/0001-78,30/03/2023,medio,carro,165/65.14,Não,2,206.26,412.52
Sim,Aparecida,73.916.485/0001-31,12/12/2022,grande,caminhão,215/70.16,Não,6,206.51,1239.06
Não,Ísis Silva,641.905.378-10,03/01/2023,medio,carro,185/75.15,Sim,3,170.25,510.75
Sim,Costela,97.430.286/0001-87,17/05/2023,medio,carro,195/65.15,Não,1,236.67,236.67
Sim,Cavalcante,65.098.174/0001-84,26/03/2024,medio,carro,175/65.15,Não,4,214.16,856.64
Sim,Cavalcante,65.098.174/0001-84,17/10/2024,medio,carro,185/65.14,Sim,3,157.36,472.08
Sim,Aparecida,73.916.485/0001-31,16/06/2023,medio,carro,185/65.13,Não,1,245.73,245.73
Não,Ana Luiza Cassiano,024.813.579-14,14/12/2022,medio,carro,185/75.13,Não,5,239.62,1198.1
Sim,Porto Ltda.,31.502.897/0001-85,01/08/2022,medio,carro,185/75.15,Não,2,200.27,400.54
Sim,Aparecida,73.916.485/0001-31,09/02/2023,medio,carro,195/75.15,Sim,2,165.5,331.0
Não,Pedro Lucas Aparecida,173.846.205-62,05/04/2025,medio,carro,175/65.16,Sim,1,156.99,156.99
Não,Olivia Pimenta,403.581.627-26,06/08/2023,grande,caminhão,205/65.16,Sim,1,154.88,154.88
Não,Davi Luiz Viana,268.570.439-65,23/07/2024,grande,caminhão,225/45.17,Sim,3,162.46,487.38
Não,Vitória Ribeiro,945.832.610-98,22/03/2025,medio,carro,175/75.15,Sim,4,158.48,633.92
